,county,state,GeoFips
216,Calaveras,CA,06009
217,Colusa,CA,06011
218,Contra Costa,CA,06013
219,Del Norte,CA,06015
220,El Dorado,CA,06017
221,Fresno,CA,06019
222,Glenn,CA,06021
223,Humboldt,CA,06023
224,Imperial,CA,06025
225,Inyo,CA,06027
226,Kern,CA,06029
227,Kings,CA,06031
228,Lake,CA,06033
229,Lassen,CA,06035
230,Los Angeles,CA,06037
231,Madera,CA,06039
232,Marin,CA,06041
233,Mariposa,CA,06043
234,Mendocino,CA,06045
235,Merced,CA,06047
236,Modoc,CA,06049
237,Mono,CA,06051
238,Monterey,CA,06053
239,Napa,CA,06055
240,Nevada,CA,06057
241,Orange,CA,06059
242,Placer,CA,06061
243,Plumas,CA,06063
244,Riverside,CA,06065
245,Sacramento,CA,06067
246,San Benito,CA,06069
247,San Bernardino,CA,06071
248,San Diego,CA,06073
249,San Francisco,CA,06075
250,San Joaquin,CA,06077
251,San Luis Obispo,CA,06079
252,San Mateo,CA,06081
253,Santa Barbara,CA,06083
254,Santa Clara,CA,06085
255,Santa Cruz,CA,06087
256,Shasta,CA,06089
257,Sierra,CA,06091
258,Siskiyou,CA,06093
259,Solano,CA,06095
260,Sonoma,CA,06097
261,Stanislaus,CA,06099
262,Sutter,CA,06101
263,Tehama,CA,06103
264,Trinity,CA,06105
265,Tulare,CA,06107
266,Tuolumne,CA,06109
267,Ventura,CA,06111
268,Yolo,CA,06113
269,Yuba,CA,06115
270,Adams,CO,08001
271,Alamosa,CO,08003
272,Arapahoe,CO,08005
273,Archuleta,CO,08007
274,Baca,CO,08009
275,Bent,CO,08011
276,Boulder,CO,08013
277,Broomfield,CO,08014
278,Chaffee,CO,08015
279,Cheyenne,CO,08017
280,Clear Creek,CO,08019
281,Conejos,CO,08021
282,Costilla,CO,08023
283,Crowley,CO,08025
284,Custer,CO,08027
285,Delta,CO,08029
286,Denver,CO,08031
287,Dolores,CO,08033
288,Douglas,CO,08035
289,Eagle,CO,08037
290,Elbert,CO,08039
291,El Paso,CO,08041
292,Fremont,CO,08043
293,Garfield,CO,08045
294,Gilpin,CO,08047
295,Grand,CO,08049
296,Gunnison,CO,08051
297,Hinsdale,CO,08053
298,Huerfano,CO,08055
299,Jackson,CO,08057
300,Jefferson,CO,08059
301,Kiowa,CO,08061
302,Kit Carson,CO,08063
303,Lake,CO,08065
304,La Plata,CO,08067
305,Larimer,CO,08069
306,Las Animas,CO,08071
307,Lincoln,CO,08073
308,Logan,CO,08075
309,Mesa,CO,08077
310,Mineral,CO,08079
311,Moffat,CO,08081
312,Montezuma,CO,08083
313,Montrose,CO,08085
314,Morgan,CO,08087
315,Otero,CO,08089
316,Ouray,CO,08091
317,Park,CO,08093
318,Phillips,CO,08095
319,Pitkin,CO,08097
320,Prowers,CO,08099
321,Pueblo,CO,08101
322,Rio Blanco,CO,08103
323,Rio Grande,CO,08105
324,Routt,CO,08107
325,Saguache,CO,08109
326,San Juan,CO,08111
327,San Miguel,CO,08113
328,Sedgwick,CO,08115
329,Summit,CO,08117
330,Teller,CO,08119
331,Washington,CO,08121
332,Weld,CO,08123
333,Yuma,CO,08125
334,Fairfield,CT,09001
335,Hartford,CT,09003
336,Litchfield,CT,09005
337,Middlesex,CT,09007
338,New Haven,CT,09009
339,New London,CT,09011
340,Tolland,CT,09013
341,Windham,CT,09015
342,Kent,DE,10001
343,New Castle,DE,10003
344,Sussex,DE,10005
345,District of Columbia,DC,11001
346,Alachua,FL,12001
347,Baker,FL,12003
348,Bay,FL,12005
349,Bradford,FL,12007
350,Brevard,FL,12009
351,Broward,FL,12011
352,Calhoun,FL,12013
353,Charlotte,FL,12015
354,Citrus,FL,12017
355,Clay,FL,12019
356,Collier,FL,12021
357,Columbia,FL,12023
358,DeSoto,FL,12027
359,Dixie,FL,12029
360,Duval,FL,12031
361,Escambia,FL,12033
362,Flagler,FL,12035
363,Franklin,FL,12037
364,Gadsden,FL,12039
365,Gilchrist,FL,12041
366,Glades,FL,12043
367,Gulf,FL,12045
368,Hamilton,FL,12047
369,Hardee,FL,12049
370,Hendry,FL,12051
371,Hernando,FL,12053
372,Highlands,FL,12055
373,Hillsborough,FL,12057
374,Holmes,FL,12059
375,Indian River,FL,12061
376,Jackson,FL,12063
377,Jefferson,FL,12065
378,Lafayette,FL,12067
379,Lake,FL,12069
380,Lee,FL,12071
381,Leon,FL,12073
382,Levy,FL,12075
383,Liberty,FL,12077
384,Madison,FL,12079
385,Manatee,FL,12081
386,Marion,FL,12083
387,Martin,FL,12085
388,Miami-Dade,FL,12086
389,Monroe,FL,12087
390,Nassau,FL,12089
391,Okaloosa,FL,12091
392,Okeechobee,FL,12093
393,Orange,FL,12095
394,Osceola,FL,12097
395,Palm Beach,FL,12099
396,Pasco,FL,12101
397,Pinellas,FL,12103
398,Polk,FL,12105
399,Putnam,FL,12107
400,St. Johns,FL,12109
401,St. Lucie,FL,12111
402,Santa Rosa,FL,12113
403,Sarasota,FL,12115
404,Seminole,FL,12117
405,Sumter,FL,12119
406,Suwannee,FL,12121
407,Taylor,FL,12123
408,Union,FL,12125
409,Volusia,FL,12127
410,Wakulla,FL,12129
411,Walton,FL,12131
412,Washington,FL,12133
413,Appling,GA,13001
414,Atkinson,GA,13003
415,Bacon,GA,13005
416,Baker,GA,13007
417,Baldwin,GA,13009
418,Banks,GA,13011
419,Barrow,GA,13013
420,Bartow,GA,13015
421,Ben Hill,GA,13017
422,Berrien,GA,13019
423,Bibb,GA,13021
424,Bleckley,GA,13023
425,Brantley,GA,13025
426,Brooks,GA,13027
427,Bryan,GA,13029
428,Bulloch,GA,13031
429,Burke,GA,13033
430,Butts,GA,13035
431,Calhoun,GA,13037
432,Camden,GA,13039
433,Candler,GA,13043
434,Carroll,GA,13045
435,Catoosa,GA,13047
436,Charlton,GA,13049
437,Chatham,GA,13051
438,Chattahoochee,GA,13053
439,Chattooga,GA,13055
440,Cherokee,GA,13057
441,Clarke,GA,13059
442,Clay,GA,13061
443,Clayton,GA,13063
444,Clinch,GA,13065
445,Cobb,GA,13067
446,Coffee,GA,13069
447,Colquitt,GA,13071
448,Columbia,GA,13073
449,Cook,GA,13075
450,Coweta,GA,13077
451,Crawford,GA,13079
452,Crisp,GA,13081
453,Dade,GA,13083
454,Dawson,GA,13085
455,Decatur,GA,13087
456,DeKalb,GA,13089
457,Dodge,GA,13091
458,Dooly,GA,13093
459,Dougherty,GA,13095
460,Douglas,GA,13097
461,Early,GA,13099
462,Echols,GA,13101
463,Effingham,GA,13103
464,Elbert,GA,13105
465,Emanuel,GA,13107
466,Evans,GA,13109
467,Fannin,GA,13111
468,Fayette,GA,13113
469,Floyd,GA,13115
470,Forsyth,GA,13117
471,Franklin,GA,13119
472,Fulton,GA,13121
473,Gilmer,GA,13123
474,Glascock,GA,13125
475,Glynn,GA,13127
476,Gordon,GA,13129
477,Grady,GA,13131
478,Greene,GA,13133
479,Gwinnett,GA,13135
480,Habersham,GA,13137
481,Hall,GA,13139
482,Hancock,GA,13141
483,Haralson,GA,13143
484,Harris,GA,13145
485,Hart,GA,13147
486,Heard,GA,13149
487,Henry,GA,13151
488,Houston,GA,13153
489,Irwin,GA,13155
490,Jackson,GA,13157
491,Jasper,GA,13159
492,Jeff Davis,GA,13161
493,Jefferson,GA,13163
494,Jenkins,GA,13165
495,Johnson,GA,13167
496,Jones,GA,13169
497,Lamar,GA,13171
498,Lanier,GA,13173
499,Laurens,GA,13175
500,Lee,GA,13177
501,Liberty,GA,13179
502,Lincoln,GA,13181
503,Long,GA,13183
504,Lowndes,GA,13185
505,Lumpkin,GA,13187
506,McDuffie,GA,13189
507,McIntosh,GA,13191
508,Macon,GA,13193
509,Madison,GA,13195
510,Marion,GA,13197
511,Meriwether,GA,13199
512,Miller,GA,13201
513,Mitchell,GA,13205
514,Monroe,GA,13207
515,Montgomery,GA,13209
516,Morgan,GA,13211
517,Murray,GA,13213
518,Muscogee,GA,13215
519,Newton,GA,13217
520,Oconee,GA,13219
521,Oglethorpe,GA,13221
522,Paulding,GA,13223
523,Peach,GA,13225
524,Pickens,GA,13227
525,Pierce,GA,13229
526,Pike,GA,13231
527,Polk,GA,13233
528,Pulaski,GA,13235
529,Putnam,GA,13237
530,Quitman,GA,13239
531,Rabun,GA,13241
532,Randolph,GA,13243
533,Richmond,GA,13245
534,Rockdale,GA,13247
535,Schley,GA,13249
536,Screven,GA,13251
537,Seminole,GA,13253
538,Spalding,GA,13255
539,Stephens,GA,13257
540,Stewart,GA,13259
541,Sumter,GA,13261
542,Talbot,GA,13263
543,Taliaferro,GA,13265
544,Tattnall,GA,13267
545,Taylor,GA,13269
546,Telfair,GA,13271
547,Terrell,GA,13273
548,Thomas,GA,13275
549,Tift,GA,13277
550,Toombs,GA,13279
551,Towns,GA,13281
552,Treutlen,GA,13283
553,Troup,GA,13285
554,Turner,GA,13287
555,Twiggs,GA,13289
556,Union,GA,13291
557,Upson,GA,13293
558,Walker,GA,13295
559,Walton,GA,13297
560,Ware,GA,13299
561,Warren,GA,13301
562,Washington,GA,13303
563,Wayne,GA,13305
564,Webster,GA,13307
565,Wheeler,GA,13309
566,White,GA,13311
567,Whitfield,GA,13313
568,Wilcox,GA,13315
569,Wilkes,GA,13317
570,Wilkinson,GA,13319
571,Worth,GA,13321
572,Hawaii,HI,15001
573,Honolulu,HI,15003
574,Kauai,HI,15007
575,Maui + Kalawao,HI,15901
576,Ada,ID,16001
577,Adams,ID,16003
578,Bannock,ID,16005
579,Bear Lake,ID,16007
580,Benewah,ID,16009
581,Bingham,ID,16011
582,Blaine,ID,16013
583,Boise,ID,16015
584,Bonner,ID,16017
585,Bonneville,ID,16019
586,Boundary,ID,16021
587,Butte,ID,16023
588,Camas,ID,16025
589,Canyon,ID,16027
590,Caribou,ID,16029
591,Cassia,ID,16031
592,Clark,ID,16033
593,Clearwater,ID,16035
594,Custer,ID,16037
595,Elmore,ID,16039
596,Franklin,ID,16041
597,Fremont (includes Yellowstone Park),ID,16043
598,Gem,ID,16045
599,Gooding,ID,16047
600,Idaho,ID,16049
601,Jefferson,ID,16051
602,Jerome,ID,16053
603,Kootenai,ID,16055
604,Latah,ID,16057
605,Lemhi,ID,16059
606,Lewis,ID,16061
607,Lincoln,ID,16063
608,Madison,ID,16065
609,Minidoka,ID,16067
610,Nez Perce,ID,16069
611,Oneida,ID,16071
612,Owyhee,ID,16073
613,Payette,ID,16075
614,Power,ID,16077
615,Shoshone,ID,16079
616,Teton,ID,16081
617,Twin Falls,ID,16083
618,Valley,ID,16085
619,Washington,ID,16087
620,Adams,IL,17001
621,Alexander,IL,17003
622,Bond,IL,17005
623,Boone,IL,17007
624,Brown,IL,17009
625,Bureau,IL,17011
626,Calhoun,IL,17013
627,Carroll,IL,17015
628,Cass,IL,17017
629,Champaign,IL,17019
630,Christian,IL,17021
631,Clark,IL,17023
632,Clay,IL,17025
633,Clinton,IL,17027
634,Coles,IL,17029
635,Cook,IL,17031
636,Crawford,IL,17033
637,Cumberland,IL,17035
638,DeKalb,IL,17037
639,De Witt,IL,17039
640,Douglas,IL,17041
641,DuPage,IL,17043
642,Edgar,IL,17045
643,Edwards,IL,17047
644,Effingham,IL,17049
645,Fayette,IL,17051
646,Ford,IL,17053
647,Franklin,IL,17055
648,Fulton,IL,17057
649,Gallatin,IL,17059
650,Greene,IL,17061
651,Grundy,IL,17063
652,Hamilton,IL,17065
653,Hancock,IL,17067
654,Hardin,IL,17069
655,Henderson,IL,17071
656,Henry,IL,17073
657,Iroquois,IL,17075
658,Jackson,IL,17077
659,Jasper,IL,17079
660,Jefferson,IL,17081
661,Jersey,IL,17083
662,Jo Daviess,IL,17085
663,Johnson,IL,17087
664,Kane,IL,17089
665,Kankakee,IL,17091
666,Kendall,IL,17093
667,Knox,IL,17095
668,Lake,IL,17097
669,LaSalle,IL,17099
670,Lawrence,IL,17101
671,Lee,IL,17103
672,Livingston,IL,17105
673,Logan,IL,17107
674,McDonough,IL,17109
675,McHenry,IL,17111
676,McLean,IL,17113
677,Macon,IL,17115
678,Macoupin,IL,17117
679,Madison,IL,17119
680,Marion,IL,17121
681,Marshall,IL,17123
682,Mason,IL,17125
683,Massac,IL,17127
684,Menard,IL,17129
685,Mercer,IL,17131
686,Monroe,IL,17133
687,Montgomery,IL,17135
688,Morgan,IL,17137
689,Moultrie,IL,17139
690,Ogle,IL,17141
691,Peoria,IL,17143
692,Perry,IL,17145
693,Piatt,IL,17147
694,Pike,IL,17149
695,Pope,IL,17151
696,Pulaski,IL,17153
697,Putnam,IL,17155
698,Randolph,IL,17157
699,Richland,IL,17159
700,Rock Island,IL,17161
701,St. Clair,IL,17163
702,Saline,IL,17165
703,Sangamon,IL,17167
704,Schuyler,IL,17169
705,Scott,IL,17171
706,Shelby,IL,17173
707,Stark,IL,17175
708,Stephenson,IL,17177
709,Tazewell,IL,17179
710,Union,IL,17181
711,Vermilion,IL,17183
712,Wabash,IL,17185
713,Warren,IL,17187
714,Washington,IL,17189
715,Wayne,IL,17191
716,White,IL,17193
717,Whiteside,IL,17195
718,Will,IL,17197
719,Williamson,IL,17199
720,Winnebago,IL,17201
721,Woodford,IL,17203
722,Adams,IN,18001
723,Allen,IN,18003
724,Bartholomew,IN,18005
725,Benton,IN,18007
726,Blackford,IN,18009
727,Boone,IN,18011
728,Brown,IN,18013
729,Carroll,IN,18015
730,Cass,IN,18017
731,Clark,IN,18019
732,Clay,IN,18021
733,Clinton,IN,18023
734,Crawford,IN,18025
735,Daviess,IN,18027
736,Dearborn,IN,18029
737,Decatur,IN,18031
738,DeKalb,IN,18033
739,Delaware,IN,18035
740,Dubois,IN,18037
741,Elkhart,IN,18039
742,Fayette,IN,18041
743,Floyd,IN,18043
744,Fountain,IN,18045
745,Franklin,IN,18047
746,Fulton,IN,18049
747,Gibson,IN,18051
748,Grant,IN,18053
749,Greene,IN,18055
750,Hamilton,IN,18057
751,Hancock,IN,18059
752,Harrison,IN,18061
753,Hendricks,IN,18063
754,Henry,IN,18065
755,Howard,IN,18067
756,Huntington,IN,18069
757,Jackson,IN,18071
758,Jasper,IN,18073
759,Jay,IN,18075
760,Jefferson,IN,18077
761,Jennings,IN,18079
762,Johnson,IN,18081
763,Knox,IN,18083
764,Kosciusko,IN,18085
765,Lagrange,IN,18087
766,Lake,IN,18089
767,LaPorte,IN,18091
768,Lawrence,IN,18093
769,Madison,IN,18095
770,Marion,IN,18097
771,Marshall,IN,18099
772,Martin,IN,18101
773,Miami,IN,18103
774,Monroe,IN,18105
775,Montgomery,IN,18107
776,Morgan,IN,18109
777,Newton,IN,18111
778,Noble,IN,18113
779,Ohio,IN,18115
780,Orange,IN,18117
781,Owen,IN,18119
782,Parke,IN,18121
783,Perry,IN,18123
784,Pike,IN,18125
785,Porter,IN,18127
786,Posey,IN,18129
787,Pulaski,IN,18131
788,Putnam,IN,18133
789,Randolph,IN,18135
790,Ripley,IN,18137
791,Rush,IN,18139
792,St. Joseph,IN,18141
793,Scott,IN,18143
794,Shelby,IN,18145
795,Spencer,IN,18147
796,Starke,IN,18149
797,Steuben,IN,18151
798,Sullivan,IN,18153
799,Switzerland,IN,18155
800,Tippecanoe,IN,18157
801,Tipton,IN,18159
802,Union,IN,18161
803,Vanderburgh,IN,18163
804,Vermillion,IN,18165
805,Vigo,IN,18167
806,Wabash,IN,18169
807,Warren,IN,18171
808,Warrick,IN,18173
809,Washington,IN,18175
810,Wayne,IN,18177
811,Wells,IN,18179
812,White,IN,18181
813,Whitley,IN,18183
814,Adair,IA,19001
815,Adams,IA,19003
816,Allamakee,IA,19005
817,Appanoose,IA,19007
818,Audubon,IA,19009
819,Benton,IA,19011
820,Black Hawk,IA,19013
821,Boone,IA,19015
822,Bremer,IA,19017
823,Buchanan,IA,19019
824,Buena Vista,IA,19021
825,Butler,IA,19023
826,Calhoun,IA,19025
827,Carroll,IA,19027
828,Cass,IA,19029
829,Cedar,IA,19031
830,Cerro Gordo,IA,19033
831,Cherokee,IA,19035
832,Chickasaw,IA,19037
833,Clarke,IA,19039
834,Clay,IA,19041
835,Clayton,IA,19043
836,Clinton,IA,19045
837,Crawford,IA,19047
838,Dallas,IA,19049
839,Davis,IA,19051
840,Decatur,IA,19053
841,Delaware,IA,19055
842,Des Moines,IA,19057
843,Dickinson,IA,19059
844,Dubuque,IA,19061
845,Emmet,IA,19063
846,Fayette,IA,19065
847,Floyd,IA,19067
848,Franklin,IA,19069
849,Fremont,IA,19071
850,Greene,IA,19073
851,Grundy,IA,19075
852,Guthrie,IA,19077
853,Hamilton,IA,19079
854,Hancock,IA,19081
855,Hardin,IA,19083
856,Harrison,IA,19085
857,Henry,IA,19087
858,Howard,IA,19089
859,Humboldt,IA,19091
860,Ida,IA,19093
861,Iowa,IA,19095
862,Jackson,IA,19097
863,Jasper,IA,19099
864,Jefferson,IA,19101
865,Johnson,IA,19103
866,Jones,IA,19105
867,Keokuk,IA,19107
868,Kossuth,IA,19109
869,Lee,IA,19111
870,Linn,IA,19113
871,Louisa,IA,19115
872,Lucas,IA,19117
873,Lyon,IA,19119
874,Madison,IA,19121
875,Mahaska,IA,19123
876,Marion,IA,19125
877,Marshall,IA,19127
878,Mills,IA,19129
879,Mitchell,IA,19131
880,Monona,IA,19133
881,Monroe,IA,19135
882,Montgomery,IA,19137
883,Muscatine,IA,19139
884,O'Brien,IA,19141
885,Osceola,IA,19143
886,Page,IA,19145
887,Palo Alto,IA,19147
888,Plymouth,IA,19149
889,Pocahontas,IA,19151
890,Polk,IA,19153
891,Pottawattamie,IA,19155
892,Poweshiek,IA,19157
893,Ringgold,IA,19159
894,Sac,IA,19161
895,Scott,IA,19163
896,Shelby,IA,19165
897,Sioux,IA,19167
898,Story,IA,19169
899,Tama,IA,19171
900,Taylor,IA,19173
901,Union,IA,19175
902,Van Buren,IA,19177
903,Wapello,IA,19179
904,Warren,IA,19181
905,Washington,IA,19183
906,Wayne,IA,19185
907,Webster,IA,19187
908,Winnebago,IA,19189
909,Winneshiek,IA,19191
910,Woodbury,IA,19193
911,Worth,IA,19195
912,Wright,IA,19197
913,Allen,KS,20001
914,Anderson,KS,20003
915,Atchison,KS,20005
916,Barber,KS,20007
917,Barton,KS,20009
918,Bourbon,KS,20011
919,Brown,KS,20013
920,Butler,KS,20015
921,Chase,KS,20017
922,Chautauqua,KS,20019
923,Cherokee,KS,20021
924,Cheyenne,KS,20023
925,Clark,KS,20025
926,Clay,KS,20027
927,Cloud,KS,20029
928,Coffey,KS,20031
929,Comanche,KS,20033
930,Cowley,KS,20035
931,Crawford,KS,20037
932,Decatur,KS,20039
933,Dickinson,KS,20041
934,Doniphan,KS,20043
935,Douglas,KS,20045
936,Edwards,KS,20047
937,Elk,KS,20049
938,Ellis,KS,20051
939,Ellsworth,KS,20053
940,Finney,KS,20055
941,Ford,KS,20057
942,Franklin,KS,20059
943,Geary,KS,20061
944,Gove,KS,20063
945,Graham,KS,20065
946,Grant,KS,20067
947,Gray,KS,20069
948,Greeley,KS,20071
949,Greenwood,KS,20073
950,Hamilton,KS,20075
951,Harper,KS,20077
952,Harvey,KS,20079
953,Haskell,KS,20081
954,Hodgeman,KS,20083
955,Jackson,KS,20085
956,Jefferson,KS,20087
957,Jewell,KS,20089
958,Johnson,KS,20091
959,Kearny,KS,20093
960,Kingman,KS,20095
961,Kiowa,KS,20097
962,Labette,KS,20099
963,Lane,KS,20101
964,Leavenworth,KS,20103
965,Lincoln,KS,20105
966,Linn,KS,20107
967,Logan,KS,20109
968,Lyon,KS,20111
969,McPherson,KS,20113
970,Marion,KS,20115
971,Marshall,KS,20117
972,Meade,KS,20119
973,Miami,KS,20121
974,Mitchell,KS,20123
975,Montgomery,KS,20125
976,Morris,KS,20127
977,Morton,KS,20129
978,Nemaha,KS,20131
979,Neosho,KS,20133
980,Ness,KS,20135
981,Norton,KS,20137
982,Osage,KS,20139
983,Osborne,KS,20141
984,Ottawa,KS,20143
985,Pawnee,KS,20145
986,Phillips,KS,20147
987,Pottawatomie,KS,20149
988,Pratt,KS,20151
989,Rawlins,KS,20153
990,Reno,KS,20155
991,Republic,KS,20157
992,Rice,KS,20159
993,Riley,KS,20161
994,Rooks,KS,20163
995,Rush,KS,20165
996,Russell,KS,20167
997,Saline,KS,20169
998,Scott,KS,20171
999,Sedgwick,KS,20173
1000,Seward,KS,20175
1001,Shawnee,KS,20177
1002,Sheridan,KS,20179
1003,Sherman,KS,20181
1004,Smith,KS,20183
1005,Stafford,KS,20185
1006,Stanton,KS,20187
1007,Stevens,KS,20189
1008,Sumner,KS,20191
1009,Thomas,KS,20193
1010,Trego,KS,20195
1011,Wabaunsee,KS,20197
1012,Wallace,KS,20199
1013,Washington,KS,20201
1014,Wichita,KS,20203
1015,Wilson,KS,20205
1016,Woodson,KS,20207
1017,Wyandotte,KS,20209
1018,Adair,KY,21001
1019,Allen,KY,21003
1020,Anderson,KY,21005
1021,Ballard,KY,21007
1022,Barren,KY,21009
1023,Bath,KY,21011
1024,Bell,KY,21013
1025,Boone,KY,21015
1026,Bourbon,KY,21017
1027,Boyd,KY,21019
1028,Boyle,KY,21021
1029,Bracken,KY,21023
1030,Breathitt,KY,21025
1031,Breckinridge,KY,21027
1032,Bullitt,KY,21029
1033,Butler,KY,21031
1034,Caldwell,KY,21033
1035,Calloway,KY,21035
1036,Campbell,KY,21037
1037,Carlisle,KY,21039
1038,Carroll,KY,21041
