,GeoFips,GeoName_x,per_capita_income,GeoName_y,population
95,02231,"Skagway-Yakutat-Angoon Census Area, AK*",(NA),"Skagway-Yakutat-Angoon Census Area, AK*",(NA)
96,02232,"Skagway-Hoonah-Angoon Census Area, AK*",(NA),"Skagway-Hoonah-Angoon Census Area, AK*",(NA)
97,02240,"Southeast Fairbanks Census Area, AK*",54808,"Southeast Fairbanks Census Area, AK*",6957
98,02261,"Valdez-Cordova Census Area, AK*",(NA),"Valdez-Cordova Census Area, AK*",(NA)
99,02275,"Wrangell City and Borough, AK*",48549,"Wrangell City and Borough, AK*",2510
100,02280,"Wrangell-Petersburg Census Area, AK*",(NA),"Wrangell-Petersburg Census Area, AK*",(NA)
101,02282,"Yakutat City and Borough, AK*",66119,"Yakutat City and Borough, AK*",637
102,02290,"Yukon-Koyukuk Census Area, AK*",63675,"Yukon-Koyukuk Census Area, AK*",5077
103,02901,"Aleutian Islands Division, AK*",(NA),"Aleutian Islands Division, AK*",(NA)
104,02903,"Angoon Division, AK*",(NA),"Angoon Division, AK*",(NA)
105,02904,"Barrow-North Slope Division, AK*",(NA),"Barrow-North Slope Division, AK*",(NA)
106,02905,"Bethel Division, AK*",(NA),"Bethel Division, AK*",(NA)
107,02907,"Bristol Bay Division, AK*",(NA),"Bristol Bay Division, AK*",(NA)
108,02908,"Cordova-McCarthy Division, AK*",(NA),"Cordova-McCarthy Division, AK*",(NA)
109,02910,"Haines Division, AK*",(NA),"Haines Division, AK*",(NA)
110,02912,"Kenai-Cook Inlet Division, AK*",(NA),"Kenai-Cook Inlet Division, AK*",(NA)
111,02916,"Kuskokwim Division, AK*",(NA),"Kuskokwim Division, AK*",(NA)
112,02919,"Outer Ketchikan Division, AK*",(NA),"Outer Ketchikan Division, AK*",(NA)
113,02920,"Prince of Wales Division, AK*",(NA),"Prince of Wales Division, AK*",(NA)
114,02921,"Seward Division, AK*",(NA),"Seward Division, AK*",(NA)
115,02922,"Sitka Division, AK*",(NA),"Sitka Division, AK*",(NA)
116,02923,"Skagway-Yakutat Division, AK*",(NA),"Skagway-Yakutat Division, AK*",(NA)
117,02924,"Southeast Fairbanks Division, AK*",(NA),"Southeast Fairbanks Division, AK*",(NA)
118,02925,"Upper Yukon Division, AK*",(NA),"Upper Yukon Division, AK*",(NA)
119,02926,"Valdez-Chitina-Whittier Division, AK*",(NA),"Valdez-Chitina-Whittier Division, AK*",(NA)
120,02928,"Wrangell-Petersburg Division, AK*",(NA),"Wrangell-Petersburg Division, AK*",(NA)
121,02929,"Yukon-Koyukuk Division, AK*",(NA),"Yukon-Koyukuk Division, AK*",(NA)
122,04001,"Apache, AZ",38915,"Apache, AZ",71875
123,04003,"Cochise, AZ",45786,"Cochise, AZ",127450
124,04005,"Coconino, AZ",53036,"Coconino, AZ",142481
125,04007,"Gila, AZ",44201,"Gila, AZ",54303
126,04009,"Graham, AZ",35072,"Graham, AZ",39211
127,04011,"Greenlee, AZ",44050,"Greenlee, AZ",9341
128,04012,"La Paz, AZ*",39482,"La Paz, AZ*",21480
129,04013,"Maricopa, AZ",53521,"Maricopa, AZ",4579081
130,04015,"Mohave, AZ",36529,"Mohave, AZ",217206
131,04017,"Navajo, AZ",36169,"Navajo, AZ",112112
132,04019,"Pima, AZ",48373,"Pima, AZ",1061175
133,04021,"Pinal, AZ",35949,"Pinal, AZ",480828
134,04023,"Santa Cruz, AZ",42204,"Santa Cruz, AZ",46808
135,04025,"Yavapai, AZ",44490,"Yavapai, AZ",240226
136,04027,"Yuma, AZ*",40800,"Yuma, AZ*",217824
137,05001,"Arkansas, AR",50534,"Arkansas, AR",17383
138,05003,"Ashley, AR",38489,"Ashley, AR",19339
139,05005,"Baxter, AR",39950,"Baxter, AR",42242
140,05007,"Benton, AR",94289,"Benton, AR",288774
141,05009,"Boone, AR",38108,"Boone, AR",37625
142,05011,"Bradley, AR",42037,"Bradley, AR",10639
143,05013,"Calhoun, AR",38509,"Calhoun, AR",5113
144,05015,"Carroll, AR",34692,"Carroll, AR",28276
145,05017,"Chicot, AR",44762,"Chicot, AR",9924
146,05019,"Clark, AR",39450,"Clark, AR",22103
147,05021,"Clay, AR",39157,"Clay, AR",14375
148,05023,"Cleburne, AR",41656,"Cleburne, AR",24935
149,05025,"Cleveland, AR",40366,"Cleveland, AR",7957
150,05027,"Columbia, AR",38806,"Columbia, AR",23331
151,05029,"Conway, AR",40633,"Conway, AR",21037
152,05031,"Craighead, AR",40728,"Craighead, AR",112245
153,05033,"Crawford, AR",35919,"Crawford, AR",63409
154,05035,"Crittenden, AR",41474,"Crittenden, AR",47616
155,05037,"Cross, AR",41715,"Cross, AR",16142
156,05039,"Dallas, AR",40611,"Dallas, AR",6802
157,05041,"Desha, AR",44920,"Desha, AR",11110
158,05043,"Drew, AR",40726,"Drew, AR",17977
159,05045,"Faulkner, AR",41943,"Faulkner, AR",126919
160,05047,"Franklin, AR",33885,"Franklin, AR",17897
161,05049,"Fulton, AR",31840,"Fulton, AR",12381
162,05051,"Garland, AR",44358,"Garland, AR",99789
163,05053,"Grant, AR",41674,"Grant, AR",18449
164,05055,"Greene, AR",38560,"Greene, AR",45597
165,05057,"Hempstead, AR",33760,"Hempstead, AR",21253
166,05059,"Hot Spring, AR",34110,"Hot Spring, AR",33787
167,05061,"Howard, AR",34751,"Howard, AR",13109
168,05063,"Independence, AR",38266,"Independence, AR",37757
169,05065,"Izard, AR",32606,"Izard, AR",13613
170,05067,"Jackson, AR",41646,"Jackson, AR",16636
171,05069,"Jefferson, AR",39443,"Jefferson, AR",65377
172,05071,"Johnson, AR",30728,"Johnson, AR",26513
173,05073,"Lafayette, AR",38307,"Lafayette, AR",6596
174,05075,"Lawrence, AR",38065,"Lawrence, AR",16410
175,05077,"Lee, AR",32359,"Lee, AR",8513
176,05079,"Lincoln, AR",29008,"Lincoln, AR",12944
177,05081,"Little River, AR",37075,"Little River, AR",12180
178,05083,"Logan, AR",34433,"Logan, AR",21410
179,05085,"Lonoke, AR",43537,"Lonoke, AR",73921
180,05087,"Madison, AR",34012,"Madison, AR",16644
181,05089,"Marion, AR",33493,"Marion, AR",16790
182,05091,"Miller, AR",37065,"Miller, AR",43177
183,05093,"Mississippi, AR",37730,"Mississippi, AR",40066
184,05095,"Monroe, AR",40475,"Monroe, AR",6584
185,05097,"Montgomery, AR",32125,"Montgomery, AR",9006
186,05099,"Nevada, AR",35808,"Nevada, AR",8099
187,05101,"Newton, AR",32731,"Newton, AR",7602
188,05103,"Ouachita, AR",41877,"Ouachita, AR",23167
189,05105,"Perry, AR",38404,"Perry, AR",10327
190,05107,"Phillips, AR",38155,"Phillips, AR",17299
191,05109,"Pike, AR",33920,"Pike, AR",10643
192,05111,"Poinsett, AR",37307,"Poinsett, AR",23283
193,05113,"Polk, AR",32573,"Polk, AR",19707
194,05115,"Pope, AR",36617,"Pope, AR",64334
195,05117,"Prairie, AR",42843,"Prairie, AR",7966
196,05119,"Pulaski, AR",55563,"Pulaski, AR",392980
