,GeoFips,county,state,population,per_capita_income,zip,latitude,longitude
87,02105,Hoonah-Angoon Census Area,AK,2141,64708,99826,58.42,-135.78
88,02105,Hoonah-Angoon Census Area,AK,2141,64708,99829,58.11,-135.4
89,02105,Hoonah-Angoon Census Area,AK,2141,64708,99832,57.95,-136.11
90,02105,Hoonah-Angoon Census Area,AK,2141,64708,99841,57.79,-135.18
91,02110,Juneau City and Borough,AK,31849,74162,99801,58.58,-134.77
92,02110,Juneau City and Borough,AK,31849,74162,99824,58.26,-134.4
93,02122,Kenai Peninsula Borough,AK,59414,56139,99556,59.82,-151.59
94,02122,Kenai Peninsula Borough,AK,59414,56139,99568,60.21,-151.4
95,02122,Kenai Peninsula Borough,AK,59414,56139,99572,60.49,-149.82
96,02122,Kenai Peninsula Borough,AK,59414,56139,99603,59.4,-151.32
97,02122,Kenai Peninsula Borough,AK,59414,56139,99605,60.84,-149.4
98,02122,Kenai Peninsula Borough,AK,59414,56139,99610,60.28,-151.26
99,02122,Kenai Peninsula Borough,AK,59414,56139,99611,60.66,-150.9
100,02122,Kenai Peninsula Borough,AK,59414,56139,99631,60.57,-149.45
101,02122,Kenai Peninsula Borough,AK,59414,56139,99635,60.91,-150.7
102,02122,Kenai Peninsula Borough,AK,59414,56139,99639,60.07,-151.42
103,02122,Kenai Peninsula Borough,AK,59414,56139,99663,59.39,-151.66
104,02122,Kenai Peninsula Borough,AK,59414,56139,99664,60.05,-149.33
105,02122,Kenai Peninsula Borough,AK,59414,56139,99669,60.32,-150.79
106,02122,Kenai Peninsula Borough,AK,59414,56139,99672,60.54,-150.79
107,02122,Kenai Peninsula Borough,AK,59414,56139,99682,61.08,-151.16
108,02130,Ketchikan Gateway Borough,AK,13747,70574,99901,55.61,-131.58
109,02130,Ketchikan Gateway Borough,AK,13747,70574,99928,55.45,-131.79
110,02150,Kodiak Island Borough,AK,12992,66988,99550,57.9,-153.04
111,02150,Kodiak Island Borough,AK,12992,66988,99608,57.6,-154.33
112,02150,Kodiak Island Borough,AK,12992,66988,99615,57.79,-152.4
113,02150,Kodiak Island Borough,AK,12992,66988,99619,57.79,-152.4
114,02150,Kodiak Island Borough,AK,12992,66988,99624,57.59,-153.91
115,02150,Kodiak Island Borough,AK,12992,66988,99643,57.21,-153.32
116,02150,Kodiak Island Borough,AK,12992,66988,99644,57.93,-152.42
117,02150,Kodiak Island Borough,AK,12992,66988,99697,57.55,-153.43
118,02164,Lake and Peninsula Borough,AK,1493,63397,99548,56.23,-158.74
119,02164,Lake and Peninsula Borough,AK,1493,63397,99549,56.96,-158.58
120,02164,Lake and Peninsula Borough,AK,1493,63397,99564,56.3,-158.36
121,02164,Lake and Peninsula Borough,AK,1493,63397,99565,56.3,-158.49
122,02164,Lake and Peninsula Borough,AK,1493,63397,99579,58.21,-157.36
123,02164,Lake and Peninsula Borough,AK,1493,63397,99606,59.85,-154.56
124,02164,Lake and Peninsula Borough,AK,1493,63397,99625,59.29,-156.65
125,02164,Lake and Peninsula Borough,AK,1493,63397,99640,59.96,-154.87
126,02164,Lake and Peninsula Borough,AK,1493,63397,99647,59.86,-154.03
127,02164,Lake and Peninsula Borough,AK,1493,63397,99648,55.93,-159.15
