,GeoFips,per_capita_income
168,05063,38266
169,05065,32606
170,05067,41646
171,05069,39443
172,05071,30728
173,05073,38307
174,05075,38065
175,05077,32359
176,05079,29008
177,05081,37075
178,05083,34433
179,05085,43537
180,05087,34012
181,05089,33493
182,05091,37065
183,05093,37730
184,05095,40475
185,05097,32125
186,05099,35808
187,05101,32731
188,05103,41877
189,05105,38404
190,05107,38155
191,05109,33920
192,05111,37307
193,05113,32573
194,05115,36617
195,05117,42843
196,05119,55563
197,05121,36401
198,05123,30903
199,05125,45692
200,05127,32290
201,05129,31657
202,05131,45586
203,05133,32926
204,05135,35612
205,05137,32753
206,05139,48669
207,05141,34482
208,05143,43817
209,05145,39598
210,05147,45248
211,05149,33506
212,06001,87078
213,06003,76175
214,06005,47721
215,06007,50279
216,06009,53026
217,06011,57382
218,06013,92264
219,06015,40192
220,06017,72662
221,06019,48495
222,06021,52219
223,06023,50182
224,06025,44500
225,06027,64335
226,06029,44721
227,06031,41829
228,06033,47144
229,06035,40490
230,06037,68272
231,06039,44532
232,06041,145575
233,06043,57828
234,06045,54795
235,06047,43914
236,06049,52779
237,06051,54586
238,06053,61510
239,06055,82408
240,06057,64876
241,06059,74618
242,06061,72279
243,06063,55029
244,06065,45834
245,06067,58307
246,06069,60807
247,06071,44831
248,06073,66266
249,06075,144818
250,06077,51816
251,06079,62342
252,06081,141841
253,06083,67879
254,06085,123661
255,06087,75957
256,06089,51649
257,06091,49139
258,06093,49664
259,06095,58688
260,06097,71386
261,06099,48954
262,06101,50730
263,06103,46007
264,06105,43877
265,06107,46348
266,06109,49708
267,06111,67422
268,06113,58391
269,06115,46373
270,08001,48115
271,08003,42974
272,08005,66691
273,08007,46287
274,08009,53223
275,08011,33591
276,08013,79649
277,08014,67495
278,08015,51361
279,08017,61731
280,08019,67132
281,08021,39847
282,08023,38430
283,08025,23751
284,08027,45691
285,08029,42127
286,08031,85411
287,08033,42093
288,08035,78980
289,08037,87872
290,08039,63970
291,08041,54151
292,08043,38952
293,08045,62581
294,08047,55256
295,08049,57476
296,08051,51025
297,08053,49423
298,08055,46859
299,08057,62008
300,08059,68829
301,08061,66839
302,08063,47198
303,08065,40344
304,08067,61304
305,08069,58725
306,08071,43118
307,08073,35695
308,08075,46217
309,08077,48435
310,08079,73101
311,08081,47467
312,08083,46919
313,08085,45262
314,08087,48701
315,08089,41333
316,08091,67263
317,08093,48514
318,08095,49877
319,08097,155067
320,08099,41990
321,08101,43196
322,08103,52422
323,08105,53641
324,08107,85836
325,08109,40032
326,08111,50039
327,08113,93954
328,08115,50896
329,08117,77754
330,08119,54587
331,08121,49287
332,08123,52054
333,08125,47285
334,09001,120244
335,09003,67938
336,09005,67118
337,09007,71291
338,09009,60092
339,09011,61191
340,09013,59590
341,09015,50747
342,10001,46600
343,10003,59955
344,10005,54352
345,11001,86567
346,12001,49556
347,12003,36552
348,12005,50696
349,12007,36301
350,12009,51507
351,12011,55908
352,12013,32264
353,12015,45606
354,12017,41933
355,12019,47407
356,12021,103865
357,12023,38243
358,12027,27863
359,12029,30651
360,12031,51131
361,12033,47381
362,12035,50599
363,12037,39452
364,12039,38507
365,12041,37425
366,12043,28116
367,12045,49666
368,12047,29383
369,12049,31775
370,12051,35546
371,12053,41385
372,12055,37158
373,12057,51848
374,12059,34661
375,12061,84607
376,12063,38710
377,12065,44065
378,12067,30032
379,12069,46563
380,12071,54707
381,12073,48850
382,12075,40598
383,12077,28496
384,12079,35828
385,12081,52395
386,12083,41553
387,12085,89185
388,12086,57213
389,12087,106583
390,12089,64746
391,12091,54630
392,12093,34998
393,12095,49390
394,12097,39210
395,12099,87478
396,12101,45461
397,12103,59178
398,12105,39760
399,12107,36354
400,12109,73944
401,12111,43970
402,12113,49472
403,12115,70884
404,12117,53403
405,12119,54533
406,12121,35987
407,12123,33227
408,12125,24593
409,12127,46475
410,12129,39938
411,12131,69862
412,12133,32862
413,13001,39199
414,13003,31938
415,13005,38281
416,13007,43156
417,13009,36399
418,13011,37333
419,13013,40435
420,13015,42734
421,13017,36234
422,13019,35260
423,13021,44830
424,13023,36712
425,13025,30007
426,13027,40221
427,13029,56648
428,13031,35376
429,13033,41973
430,13035,37403
431,13037,28426
432,13039,39262
433,13043,36613
434,13045,42058
435,13047,38815
436,13049,27192
437,13051,51805
438,13053,33166
439,13055,33855
440,13057,56278
441,13059,37588
442,13061,38731
443,13063,32702
444,13065,44238
445,13067,63214
446,13069,35507
447,13071,37418
448,13073,54420
449,13075,36301
450,13077,52106
451,13079,37563
452,13081,37250
453,13083,37327
454,13085,48170
455,13087,40879
456,13089,56428
457,13091,33419
458,13093,34582
459,13095,40161
460,13097,40264
461,13099,42889
462,13101,31945
463,13103,45069
464,13105,38414
465,13107,37678
466,13109,37408
467,13111,39796
468,13113,71384
469,13115,41238
470,13117,67859
471,13119,35134
472,13121,95683
473,13123,37542
474,13125,36615
475,13127,50480
476,13129,37759
477,13131,37725
478,13133,61326
479,13135,46886
480,13137,36691
481,13139,48759
482,13141,33557
483,13143,39401
484,13145,51168
485,13147,39402
486,13149,34362
487,13151,43812
488,13153,46579
489,13155,38364
490,13157,45099
491,13159,40541
492,13161,34341
493,13163,39544
494,13165,33497
495,13167,27965
496,13169,41436
497,13171,37303
498,13173,31021
499,13175,41650
500,13177,51908
501,13179,40087
502,13181,40424
503,13183,29738
504,13185,41117
505,13187,41181
506,13189,41111
507,13191,34500
508,13193,33955
509,13195,38890
510,13197,31621
511,13199,39121
512,13201,49844
513,13205,39711
514,13207,48985
515,13209,34061
516,13211,55032
517,13213,33841
518,13215,48080
519,13217,38256
520,13219,71768
521,13221,38236
522,13223,42595
523,13225,41931
524,13227,50868
525,13229,39979
526,13231,44311
527,13233,36190
528,13235,34636
529,13237,48498
530,13239,34810
531,13241,44160
532,13243,37204
533,13245,41999
534,13247,40051
535,13249,35588
536,13251,37694
537,13253,48082
538,13255,38792
539,13257,40153
540,13259,25041
541,13261,40387
542,13263,38621
543,13265,36860
544,13267,30222
545,13269,33630
546,13271,22644
547,13273,44976
548,13275,49443
549,13277,42279
550,13279,40041
551,13281,42908
552,13283,31899
553,13285,40920
554,13287,39281
555,13289,44686
556,13291,39839
557,13293,39391
558,13295,36157
559,13297,44977
560,13299,37306
561,13301,39545
562,13303,39151
563,13305,34877
564,13307,36032
565,13309,21087
566,13311,38858
567,13313,43456
568,13315,29895
569,13317,42093
570,13319,40158
571,13321,39102
572,15001,46281
573,15003,62793
574,15007,54089
575,15901,51838
576,16001,57215
577,16003,41066
578,16005,41272
579,16007,46370
580,16009,42803
581,16011,42541
582,16013,117681
583,16015,45422
584,16017,44751
585,16019,54601
586,16021,39272
587,16023,51370
588,16025,53373
589,16027,37611
590,16029,48595
591,16031,51149
592,16033,47615
593,16035,39140
594,16037,48718
595,16039,42033
596,16041,40495
597,16043,40803
